subject,label,lat,lon,date
http://www.wikidata.org/entity/Q1509619,Battle of Bapheus,40.7667,29.9167,27-7-1302
http://www.wikidata.org/entity/Q1509663,Battle of Dunbar,55.97692,-2.52119,1-1-1296
http://www.wikidata.org/entity/Q15112371,Battle of Barro Vermelho,-29.99,-52.37777778,20-9-1835
http://www.wikidata.org/entity/Q151290,Battle of Moscow,55.75,37.63333333,02-10-1941
http://www.wikidata.org/entity/Q151340,Battle of France,47,2,10-05-1940
http://www.wikidata.org/entity/Q15153857,,38.87888889,-6.96694444,16-1-1812
http://www.wikidata.org/entity/Q15154118,,38.789,15.213,11-2-1675
http://www.wikidata.org/entity/Q1518787,Battle of Moore's Creek Bridge,34.457455,-78.109612,27-2-1776
http://www.wikidata.org/entity/Q1519203,Battle of Mobile Babe,30.24097,-88.05301,23-8-1864
http://www.wikidata.org/entity/Q15197058,Battle for Narva Bridgehead,59.38333333,28.2,02-02-1944
http://www.wikidata.org/entity/Q15230514,,51.16666667,4.833333333,29-10-1798
http://www.wikidata.org/entity/Q15231189,Battle of Andéramboukane,15.4225,3.023333333,26-01-2012
http://www.wikidata.org/entity/Q15231481,,18.04388889,0.603055556,05-06-2013
http://www.wikidata.org/entity/Q1523324,Battle of Arnemuiden,51.645,3.373,23-9-1338
http://www.wikidata.org/entity/Q15233800,,18.91666667,1.483333333,20-01-2012
http://www.wikidata.org/entity/Q15234087,,15.91666667,2.4,17-01-2012
http://www.wikidata.org/entity/Q152486,Battle of Poltava,49.57444444,34.56861111,8-7-1709
http://www.wikidata.org/entity/Q1526883,Battle of the Dunes,51.0383,2.3775,14-6-1658
http://www.wikidata.org/entity/Q1527360,Battle of Leuven,50.86666667,4.7,16-05-1940
http://www.wikidata.org/entity/Q15282200,Algeciras Campaign,36.1311,-5.39601,12-7-1801
http://www.wikidata.org/entity/Q1529375,Battle of Havana,23.11666667,-82.38333333,19-7-1870
http://www.wikidata.org/entity/Q15301965,Battle of Pollare,50.83333333,4.016666667,2-12-1798
http://www.wikidata.org/entity/Q15304619,,12.86805556,11.04638889,24-04-2013
http://www.wikidata.org/entity/Q1532629,Battle of Braga,41.54416667,-8.42194444,20-3-1809
http://www.wikidata.org/entity/Q153316,Battle of Crete,35.2167,24.9167,01-09-1939
http://www.wikidata.org/entity/Q153376,Second Battle of El Alamein,30.83333333,28.95,23-10-1942
http://www.wikidata.org/entity/Q1536618,Battle of Chapultepec,19.421,-99.182,24-4-1846
http://www.wikidata.org/entity/Q153858,Battle of Tannenberg,53.49583333,20.13444444,23-08-1914
http://www.wikidata.org/entity/Q1538855,Battle of Angaur,6.9,134.133,15-09-1944
http://www.wikidata.org/entity/Q1538874,Battle of Spotsylvania Court House,38.2242,-77.5981,13-5-1864
http://www.wikidata.org/entity/Q1539453,Battle of St. Quentin,49.90083333,3.62833333,29-08-1914
http://www.wikidata.org/entity/Q1539513,Battle of Camden,34.36455278,-80.6139,16-8-1780
http://www.wikidata.org/entity/Q1540820,Battle of Aliwal,30.9452,75.6142,28-1-1846
http://www.wikidata.org/entity/Q1541340,Battle of Cape Spartivento,38.4275,8.865833333,28-11-1940
http://www.wikidata.org/entity/Q154182,Battle of Berlin,52.51666667,13.38333333,16-04-1945
http://www.wikidata.org/entity/Q1542829,Battle of South Mountain,39.48501,-77.62161,12-4-1861
http://www.wikidata.org/entity/Q1543531,Battle of Tanagra,38.31666667,23.53333333,1-1--430
http://www.wikidata.org/entity/Q154426,Battle of Jena-Auerstedt,50.95,11.575,14-10-1806
http://www.wikidata.org/entity/Q154635,Battle of Blenheim,48.63333333,10.63333333,13-8-1704
http://www.wikidata.org/entity/Q154942,Battle of Königgrätz,50.21,15.83,3-7-1866
http://www.wikidata.org/entity/Q1550466,Battle of Seven Pines,37.5209,-77.3042,12-4-1861
